pincode,location_type,distance_km,terrain_type,infra_type,base_material_cost,labor_rate_factor,final_cost
600028,Urban,4.75,High,Underground,7329,1.02,22913.22
700091,Rural,9.87,Medium,Aerial,5269,1.27,31780.51
411001,Urban,2.08,High,Aerial,5517,1.34,14064.81
411001,Urban,7.49,Low,Aerial,4481,1.22,21332.52
400001,Rural,9.18,Medium,Underground,3470,1.4,32038.1
411001,Rural,9.94,Medium,Underground,5142,1.01,34660.57
110001,Urban,6.67,High,Aerial,5087,1.11,21946.83
122001,Rural,6.36,Low,Underground,3827,1.19,21878.62
600028,Urban,2.95,Medium,Underground,7212,1.05,17106.56
560034,Rural,7.31,Low,Aerial,6639,1.21,24880.37
560001,Urban,1.42,High,Underground,4368,1.06,10464.6
400001,Rural,5.66,High,Aerial,6676,1.36,25141.9
400076,Urban,7.55,Medium,Underground,3584,1.03,24922.22
500032,Rural,7.19,Medium,Underground,5750,1.44,30526.48
600001,Urban,8.84,Low,Aerial,4075,1.41,23307.25
400001,Rural,5.28,High,Underground,5687,1.47,27770.69
560001,Urban,10,Low,Underground,6843,1.15,33006.13
500081,Rural,1.69,Medium,Underground,5727,1.4,16325.64
380001,Rural,6.59,Low,Aerial,4943,1.18,21482.62
380015,Rural,6.54,High,Aerial,6182,1.2,27531.22
600001,Urban,1.97,High,Underground,5199,1.31,15392.21
560034,Rural,3.76,Medium,Aerial,4325,1.12,14532.43
600028,Urban,6.08,Low,Underground,5465,1.18,21902.15
122001,Urban,6.82,Medium,Aerial,3583,1.46,21130.11
700001,Rural,7.66,High,Aerial,5004,1.16,26737.67
600028,Rural,7.61,High,Underground,6530,1.04,32637.08
700001,Urban,7.3,High,Aerial,3613,1.36,22407.01
700001,Urban,9.86,Low,Aerial,3799,1.13,23730.38
560034,Urban,9.75,Low,Aerial,3962,1.17,23016.26
700001,Rural,9.2,Medium,Aerial,6231,1.32,32674.68
110001,Rural,0.65,Low,Aerial,4269,1.14,6798.7
500081,Rural,3.03,Medium,Underground,6829,1.06,18820.48
411045,Urban,4.05,High,Aerial,6230,1.45,21051.17
600028,Urban,3.55,Low,Aerial,6654,1.05,13421.44
411045,Rural,3.57,High,Aerial,6853,1.21,20134.49
380001,Rural,2.95,High,Underground,7804,1.38,25376.68
380001,Urban,3.8,High,Underground,7135,1.44,25884.11
110016,Urban,9.04,High,Aerial,6941,1.46,33104.94
500081,Rural,2.57,Low,Aerial,5824,1.34,13408.61
700091,Urban,3.48,High,Underground,4401,1.2,16722.82
700001,Rural,8.23,Low,Aerial,7665,1.29,28748.13
411001,Urban,4.45,Medium,Underground,6359,1.23,21497.99
411001,Urban,2.87,Medium,Underground,4098,1.39,14781.52
110016,Rural,3.66,Low,Underground,5469,1.2,17592.62
500032,Rural,4.06,Medium,Aerial,3927,1.14,14570.18
560034,Urban,1.01,Medium,Underground,3917,1.27,9264.08
380015,Rural,8.25,Low,Underground,5374,1.15,29560.65
700091,Rural,4.01,High,Aerial,6759,1.36,21566.62
380015,Rural,6.2,Medium,Aerial,4344,1.24,21673.35
400076,Urban,2.18,Medium,Aerial,3680,1.15,9345.87
700091,Urban,4.17,High,Aerial,3177,1.44,15573.11
411001,Urban,4.81,Medium,Aerial,4292,1.29,16095.54
600028,Rural,4.27,High,Aerial,3493,1.43,17011.95
700091,Urban,6.13,Low,Underground,3347,1.27,18988.55
400001,Rural,2.71,Medium,Aerial,4199,1.35,13181.78
411001,Urban,0.82,Low,Aerial,5537,1.19,8192.01
560001,Urban,8.64,Medium,Aerial,3228,1.38,22992.53
700001,Rural,1.69,Low,Aerial,6644,1.17,12324.19
700001,Urban,2.01,High,Aerial,4317,1.26,11102.89
411045,Urban,4.01,Low,Underground,4225,1.37,15186.87
411001,Urban,5.28,High,Aerial,4775,1.45,21845.48
122002,Urban,5.66,Medium,Underground,5937,1.18,24237.39
560034,Rural,4.81,High,Underground,4926,1.12,22607.18
560034,Rural,4.47,Low,Aerial,4906,1.16,16361.4
700091,Urban,8.12,Low,Underground,4375,1.08,23583.13
110001,Rural,3.91,Medium,Aerial,5146,1.48,19066.3
700001,Rural,8.99,High,Aerial,7107,1.32,34021.71
500032,Urban,2.03,Low,Aerial,5729,1.31,11710.73
400076,Rural,9.44,High,Aerial,5542,1.19,32669.61
411001,Rural,9.13,Medium,Aerial,6697,1.11,31518.11
600028,Urban,0.57,High,Aerial,6705,1.48,12936.36
380015,Urban,7.98,Low,Aerial,4448,1.49,21521.74
411001,Rural,1.78,Medium,Aerial,7688,1.31,15689.35
600001,Urban,3.55,Low,Underground,7700,1.33,19259.58
700001,Urban,1.72,High,Underground,5403,1.25,14398.58
110016,Rural,7.62,Medium,Underground,7811,1.19,34998.49
400001,Urban,3.89,Low,Underground,5278,1.2,16514.76
411045,Rural,8.1,Medium,Underground,6524,1.17,32862.27
411045,Rural,2.27,Medium,Underground,5582,1.19,15245.72
380001,Urban,4.06,High,Aerial,3636,1.21,14311.86
560034,Rural,2.18,Low,Underground,5030,1.1,11987.52
411001,Urban,1.4,High,Aerial,3258,1.41,8738.15
380015,Rural,5.92,Low,Underground,4985,1.03,22010.31
500081,Urban,6,High,Aerial,4951,1.01,20811.3
380001,Rural,9.7,Medium,Aerial,7646,1.03,32941.68
700001,Urban,9.67,High,Underground,6153,1.04,36940.94
122002,Rural,5.39,Medium,Aerial,4409,1.41,19578.2
560034,Urban,5.94,High,Underground,6313,1.28,27370.05
700091,Rural,8.7,Medium,Underground,7863,1.45,40275.26
110001,Urban,5.48,High,Aerial,5452,1.4,21453.11
411001,Rural,4.52,High,Underground,7863,1.06,26112.19
110016,Rural,7.42,Low,Aerial,6757,1.13,23190.58
122001,Urban,7.01,Medium,Aerial,6055,1.42,24724.3
700091,Urban,2.41,Medium,Underground,3323,1.07,10141.52
122001,Urban,6.01,Low,Aerial,5255,1.19,18903.07
400001,Rural,9.93,Medium,Underground,4488,1.1,32554.68
500032,Rural,3.54,Low,Underground,3635,1.25,14192.3
700001,Rural,1.41,Medium,Aerial,5277,1.15,10511.91
700091,Urban,7.98,Medium,Underground,5124,1.24,29473.01
400001,Urban,9.13,Low,Aerial,5177,1.09,22714.03
122002,Urban,6.98,Low,Underground,6307,1.49,26773.69
500081,Urban,8.84,High,Underground,4289,1.36,32212.62
560034,Rural,4.04,Medium,Aerial,7305,1.42,22669.58
500081,Urban,3.92,Low,Aerial,7094,1.18,15799.21
122001,Urban,9.58,Low,Aerial,3653,1.1,24234.07
380001,Rural,9.3,Medium,Underground,5818,1.12,35760.6
500032,Urban,9.64,Medium,Aerial,6949,1.06,30198.04
600028,Urban,1.52,High,Aerial,7380,1.04,13320.73
110001,Urban,7.08,High,Underground,7177,1.13,32152.54
400076,Rural,0.88,High,Aerial,6956,1.1,12755.53
411001,Urban,0.57,Low,Aerial,7177,1.32,10389.24
560001,Urban,4.93,Low,Underground,7507,1.11,20802.55
110016,Rural,8.32,High,Underground,4932,1.24,35204.78
560001,Rural,9.15,Low,Underground,3095,1.25,26761.91
122001,Rural,6.28,Medium,Aerial,6077,1.38,25695.99
400001,Rural,8.83,Low,Underground,4135,1,27601.98
400076,Urban,5.39,Medium,Aerial,6954,1.44,22824.31
122002,Urban,3.73,Medium,Underground,5844,1.29,19082.94
411045,Rural,3.47,Medium,Underground,5977,1.3,19941.17
122001,Rural,7.66,High,Underground,3235,1.42,28868.39
122001,Rural,4.58,Low,Underground,3739,1.42,18304.93
600028,Urban,1.25,Medium,Underground,3280,1.09,8039.55
400076,Rural,6.21,Medium,Underground,3341,1.37,23419.5
110001,Rural,9.01,Low,Aerial,3293,1.04,22132.9
122002,Rural,2.24,Medium,Aerial,6287,1.05,13382.52
500032,Urban,6.53,High,Underground,4439,1.2,25414.62
700091,Rural,7,High,Aerial,4407,1.09,24451.36
700091,Urban,4.34,High,Aerial,4843,1.21,17470.26
400076,Urban,2.96,Low,Underground,5653,1.29,15353.93
500032,Urban,5.05,Medium,Underground,4620,1.33,21360.57
380015,Urban,0.73,Medium,Underground,4217,1.01,7530.02
500032,Urban,6.23,Medium,Underground,5198,1.13,23075.06
560034,Urban,9.69,High,Aerial,4317,1.47,29560.91
600001,Urban,2.72,Medium,Aerial,7203,1.18,16097.42
700091,Urban,9.81,Medium,Underground,7060,1.18,35630.65
110016,Rural,7.69,Low,Aerial,7624,1.39,28778.59
400001,Rural,9.28,Medium,Aerial,6139,1.44,34126.94
411045,Rural,2.09,Medium,Underground,7526,1.17,17737.19
411001,Rural,4.2,Low,Aerial,5904,1.36,18477.24
500032,Urban,5.1,Medium,Underground,4345,1.37,20146.18
380015,Urban,8.58,High,Underground,7757,1.06,36676.91
700001,Urban,4.65,Medium,Underground,4154,1.45,19815.32
122002,Rural,0.86,Medium,Aerial,7417,1.42,15088.82
411045,Rural,4.08,Medium,Aerial,7378,1.43,23072.08
122002,Rural,1.68,High,Aerial,7834,1.19,16233.25
700091,Urban,6.04,High,Aerial,3353,1.26,19842.92
110016,Rural,5.93,Medium,Underground,3973,1.12,22859.11
400076,Urban,2.41,High,Aerial,4153,1.14,11654.32
380015,Urban,3.28,Medium,Underground,4709,1.01,14832.81
110001,Rural,8.22,High,Aerial,3977,1.37,27159.64
600001,Urban,5.44,High,Underground,4513,1.21,22740.42
600001,Rural,2.94,Medium,Underground,3978,1.12,13596.45
500032,Urban,8.86,Medium,Underground,7917,1.21,33702.45
411045,Rural,0.8,Low,Underground,6881,1.01,10178.73
110016,Urban,5.16,High,Underground,7569,1.48,31152.34
600001,Urban,3.4,High,Underground,6730,1.17,20003.43
700091,Urban,5.65,Low,Aerial,4266,1.38,17216.78
500081,Urban,0.51,Low,Aerial,5600,1.47,8970.26
700001,Urban,1.61,Medium,Underground,7442,1.21,15089.23
380015,Rural,4.63,Medium,Underground,5821,1.06,21841.88
122002,Urban,8.66,Low,Underground,4975,1.34,26467.48
122001,Rural,1.95,Medium,Underground,3355,1.48,12096.38
400001,Rural,7.3,Medium,Aerial,6832,1.28,26655.8
500032,Urban,2.17,Medium,Aerial,5321,1.21,11623.25
411001,Urban,1.59,Low,Aerial,3612,1.29,7885.58
380015,Rural,8.38,Medium,Aerial,4634,1.23,26883.48
122002,Rural,2.11,Low,Aerial,7703,1.41,16888.7
500081,Rural,0.84,High,Underground,6162,1.3,13821.1
380015,Rural,8.82,Medium,Aerial,6567,1.27,30807.69
122002,Urban,6,Medium,Aerial,3535,1.35,18581.42
380015,Rural,6.85,High,Aerial,5998,1.43,28983.65
700001,Rural,6.75,Medium,Underground,5421,1.48,30071.03
560001,Urban,9.83,Medium,Underground,5815,1.17,33070.01
560034,Urban,6.7,Low,Aerial,3543,1.49,19176.91
400076,Rural,5.53,High,Underground,5458,1.28,25647.74
110001,Rural,3.72,Low,Underground,3812,1.28,15419.66
122001,Urban,2.92,Medium,Underground,6688,1.04,15395.9
380015,Rural,1.25,High,Underground,3514,1.15,9373.22
600001,Urban,5.49,Low,Aerial,3599,1.18,15595.64
380015,Rural,9.35,Low,Aerial,3960,1.07,25956.59
400076,Urban,3.72,Medium,Aerial,5979,1.43,18295.26
110001,Rural,6.21,Low,Underground,3266,1.47,21101.8
700091,Rural,9.41,High,Aerial,3862,1.18,29698
700001,Rural,4.34,Medium,Aerial,7046,1.37,22861.16
400001,Rural,2.74,High,Aerial,6314,1.02,14971.64
560034,Urban,7,High,Aerial,7468,1.46,28516
110001,Urban,9.59,Medium,Underground,5825,1.34,35103.37
560034,Urban,3.74,Medium,Aerial,6593,1.35,18043.55
700091,Urban,3.2,Low,Underground,6255,1.14,15343.66
411045,Rural,9.11,High,Aerial,7272,1.27,33882.79
400001,Rural,4.65,Medium,Aerial,5786,1.44,21731.04
380001,Rural,4.48,Low,Aerial,4905,1.05,14899.95
380001,Rural,9.67,Low,Underground,7523,1.18,35066.92
600028,Rural,6.23,High,Aerial,6757,1.35,27294.32
110016,Rural,9.81,High,Aerial,7201,1.35,39235.89
700091,Urban,9.57,Medium,Underground,6553,1.34,34791.08
411001,Rural,8.48,Medium,Underground,6792,1.08,33800.3
122001,Urban,2.29,Medium,Underground,7448,1.08,15489.22
560034,Rural,8.8,Medium,Underground,4720,1.33,33165.52
560034,Rural,7.18,High,Underground,4340,1.43,29282.1
110016,Rural,5.17,High,Aerial,3823,1.04,18900.37
600001,Rural,5.98,Medium,Aerial,3949,1.12,20056.45
380015,Urban,8,Low,Underground,5338,1.13,24848.69
411045,Urban,6.56,Low,Underground,5972,1.45,23849.95
411045,Urban,8.46,Low,Aerial,7281,1.37,25578.73
411001,Rural,9.84,High,Aerial,6428,1.39,35748.55
700001,Urban,4,Medium,Underground,3757,1.02,15414.91
380015,Urban,2.71,High,Underground,3174,1.39,13189.42
600028,Rural,4.98,Medium,Underground,6531,1.11,23319.94
600001,Rural,7.28,Medium,Underground,7843,1.09,31895.58
560034,Urban,4.32,Low,Aerial,4976,1.05,14386.59
122001,Urban,4.21,Medium,Underground,5436,1.23,18166.55
700091,Rural,8.7,High,Underground,6499,1.42,39612.62
110016,Rural,1.07,Low,Aerial,7826,1.35,14298.27
411001,Rural,2.02,Low,Underground,7193,1.18,16039.79
380015,Urban,3.97,High,Aerial,7233,1.34,20163.19
560034,Rural,2.75,High,Aerial,4348,1.17,13803.97
411045,Rural,1.78,High,Underground,7052,1.02,15463.05
380015,Urban,1.01,Medium,Underground,6034,1.29,12381.33
600028,Urban,2.72,Low,Aerial,5899,1.03,11077.1
600001,Rural,9.67,Low,Aerial,5057,1.3,29330.75
500032,Rural,6.68,High,Aerial,5079,1.49,26063.97
700091,Rural,6.29,Medium,Aerial,3909,1.16,19980.52
500081,Urban,2.65,High,Underground,7663,1.14,18942.5
400001,Rural,1.32,High,Underground,7524,1.32,18277.87
560034,Urban,8.37,Low,Aerial,3470,1.15,20709.68
380001,Urban,3.05,High,Aerial,5377,1.32,15729.91
700091,Rural,1.58,High,Aerial,4822,1.04,10363.44
700091,Rural,7.68,Medium,Aerial,4731,1.33,24442.41
122001,Rural,9.4,Medium,Aerial,3888,1.41,28430.16
500081,Urban,8.72,Medium,Aerial,7808,1.17,30173.87
400076,Rural,3.46,High,Underground,6958,1.47,25504.05
560001,Urban,7.3,High,Aerial,5957,1.41,26897.22
411001,Rural,0.77,High,Underground,6017,1.29,14481.79
400076,Rural,4.26,High,Underground,4701,1.13,19667.31
380015,Urban,4.48,Low,Underground,4726,1.16,16291.35
380001,Rural,4.96,Medium,Aerial,5784,1.33,21128.57
600028,Urban,6.01,High,Underground,7331,1.04,28184.38
122002,Urban,6.67,High,Aerial,4329,1.17,22460.87
110016,Urban,2.98,Low,Aerial,3017,1.09,9560.67
400076,Urban,9.11,Low,Aerial,6702,1.33,28472.84
122001,Rural,3.97,High,Underground,4715,1.31,20635.53
380001,Urban,0.64,Medium,Aerial,5284,1.09,8100.59
380015,Rural,9.07,Medium,Aerial,3440,1.04,25723.95
122002,Rural,4.36,High,Underground,6679,1.01,22169.93
122001,Urban,4.08,High,Aerial,3324,1.29,14654.74
560001,Rural,2.61,Low,Aerial,7149,1.37,16667.52
700091,Urban,5.35,Medium,Underground,6164,1.47,24121.99
400076,Urban,4.56,Low,Underground,4378,1.27,17502.38
700091,Rural,8.93,Medium,Underground,7091,1.35,38085.85
600001,Urban,1.01,Medium,Aerial,4024,1.19,7586.38
700001,Rural,9.08,High,Aerial,6896,1.34,37024.47
600028,Urban,4.19,Medium,Aerial,3484,1.42,14018.26
600028,Urban,6.01,Low,Underground,5381,1.04,21066.56
122001,Urban,5.02,High,Underground,3340,1.25,18709.38
700001,Urban,2.87,High,Underground,5506,1.37,18889.46
110016,Urban,7.51,Low,Underground,7980,1.17,27561.95
560034,Urban,3.28,High,Underground,5923,1.21,18113.04
400001,Rural,6.45,Medium,Underground,7023,1.43,30657.07
380001,Rural,7.27,Low,Aerial,7561,1.1,25148.48
400001,Rural,9.13,Low,Underground,4059,1.08,28579.06
600028,Rural,9.91,High,Underground,5933,1.29,39043.74
110001,Rural,9.05,Medium,Underground,4150,1.08,29994.14
110016,Urban,6.78,Low,Aerial,4709,1.05,18775.05
560001,Rural,5.68,Low,Aerial,3688,1.09,16466.7
411001,Urban,8.75,Medium,Aerial,7098,1.46,31379.14
560001,Urban,7,High,Aerial,5696,1.2,24357.91
600028,Rural,3.47,Low,Underground,3496,1.41,14166.05
122002,Urban,4.81,High,Underground,4670,1.46,23038.27
411001,Rural,7.94,Medium,Aerial,4895,1.02,24401.55
560034,Rural,8.72,Medium,Underground,3583,1.43,30598.91
122002,Urban,9.95,High,Aerial,4068,1.18,30501.4
122002,Urban,3.01,High,Aerial,3911,1.24,13270.56
600001,Rural,3.75,High,Aerial,5112,1.3,18272.13
122001,Rural,0.89,Medium,Aerial,5683,1.05,9103.53
411001,Rural,3.05,Low,Aerial,5474,1.2,14335.38
400076,Urban,4.08,Low,Underground,6787,1.01,16573.23
400076,Urban,3.24,High,Underground,6489,1.14,18320.49
400001,Urban,1.14,Low,Underground,3201,1.04,6729.7
400001,Urban,0.65,High,Aerial,7937,1.35,14679.93
700091,Urban,4.23,Medium,Aerial,7506,1.23,19020.9
500081,Rural,1.19,High,Aerial,5996,1.07,11366.66
600028,Rural,3.37,Medium,Underground,7369,1.2,20791.4
500032,Rural,2.45,High,Aerial,6231,1.16,15122.17
380001,Urban,4.17,High,Aerial,4106,1.28,15587.07
600001,Rural,7.23,Low,Aerial,4603,1.24,22790
122002,Urban,5.55,Medium,Aerial,5639,1.36,19925.44
411001,Rural,7.23,Low,Aerial,5365,1.24,23415.68
122002,Urban,9.45,Low,Underground,5987,1.09,28342.79
560034,Urban,7.62,Low,Aerial,3877,1.02,18926.71
500081,Urban,0.9,Low,Aerial,6384,1.36,10879.77
700091,Urban,7.75,Low,Aerial,3551,1.46,20763.58
122001,Urban,6.14,Low,Aerial,6619,1.04,18868.12
110001,Urban,7.44,High,Aerial,5968,1.19,25606.16
600001,Urban,7.31,Low,Aerial,6252,1.23,21721.12
560001,Urban,8.94,Medium,Underground,3885,1.46,30097.57
380015,Urban,8.5,Medium,Underground,6881,1.03,30545.31
380015,Rural,1.95,High,Underground,3631,1.07,12066.77
122002,Rural,7.34,Medium,Underground,5364,1.44,31301.49
411001,Rural,8.43,High,Underground,5588,1.16,34298.48
110001,Urban,8.11,Medium,Underground,4165,1.45,28202.71
700001,Urban,1.85,High,Aerial,7543,1.48,17465.9
411001,Rural,1.57,Medium,Underground,6798,1.18,14977.6
560034,Urban,7.5,Low,Aerial,4966,1.49,22503.22
122002,Urban,8.29,Low,Aerial,7089,1.26,25818.4
700091,Rural,2.6,Medium,Aerial,5726,1.34,15890.04
560034,Urban,6.46,High,Aerial,5401,1.29,23861.45
380001,Urban,8.01,Low,Aerial,4504,1.21,20798.3
560034,Urban,3.22,Low,Aerial,4028,1.01,10112.44
122002,Rural,3.3,Low,Underground,6828,1.47,21199.83
411045,Rural,3.25,Low,Aerial,3508,1.43,12109.58
110001,Urban,6.44,High,Underground,6402,1.45,31054.55
411045,Urban,9.89,Medium,Aerial,7281,1.35,30966.84
500081,Urban,8.06,High,Aerial,4586,1.17,24936.95
500032,Rural,6.98,Low,Underground,7699,1.25,28863.42
411045,Rural,5.17,Medium,Aerial,4269,1.4,19336.24
700001,Rural,1.68,Medium,Underground,4013,1.29,11670.38
411045,Rural,9.71,Medium,Underground,4079,1.15,31688.82
600028,Urban,7.51,Medium,Underground,4757,1.1,24714.74
500081,Urban,4.45,Low,Aerial,4767,1.03,13865.24
500081,Urban,2.33,Medium,Aerial,5536,1.18,12185.54
400076,Rural,2.5,High,Underground,4865,1.36,18069.5
400001,Urban,6.41,Low,Aerial,3386,1.08,16254.66
700001,Urban,3.16,Low,Aerial,3306,1.44,11524.79
560034,Rural,7.79,High,Underground,7873,1.08,36879.68
600028,Urban,2.73,High,Underground,6527,1.42,19328.23
